v1	Ib(Q1)	Ic(Q1)
Step Information: I1=100µ  (Run: 1/10)
1.020000000000001e+00	1.000000e-04	1.887174e-02
1.030000000000001e+00	1.000000e-04	1.887362e-02
1.040000000000001e+00	1.000000e-04	1.887550e-02
1.050000000000001e+00	1.000000e-04	1.887738e-02
1.060000000000001e+00	1.000000e-04	1.887926e-02
1.070000000000001e+00	1.000000e-04	1.888115e-02
1.080000000000001e+00	1.000000e-04	1.888303e-02
1.090000000000001e+00	1.000000e-04	1.888491e-02
1.100000000000001e+00	1.000000e-04	1.888679e-02
1.110000000000001e+00	1.000000e-04	1.888867e-02
1.120000000000001e+00	1.000000e-04	1.889055e-02
1.130000000000001e+00	1.000000e-04	1.889244e-02
1.140000000000001e+00	1.000000e-04	1.889432e-02
1.150000000000001e+00	1.000000e-04	1.889620e-02
1.160000000000001e+00	1.000000e-04	1.889808e-02
1.170000000000001e+00	1.000000e-04	1.889996e-02
1.180000000000001e+00	1.000000e-04	1.890185e-02
1.190000000000001e+00	1.000000e-04	1.890373e-02
1.200000000000001e+00	1.000000e-04	1.890561e-02
1.210000000000001e+00	1.000000e-04	1.890749e-02
1.220000000000001e+00	1.000000e-04	1.890937e-02
1.230000000000001e+00	1.000000e-04	1.891125e-02
1.240000000000001e+00	1.000000e-04	1.891313e-02
1.250000000000001e+00	1.000000e-04	1.891502e-02
1.260000000000001e+00	1.000000e-04	1.891690e-02
1.270000000000001e+00	1.000000e-04	1.891878e-02
1.280000000000001e+00	1.000000e-04	1.892066e-02
1.290000000000001e+00	1.000000e-04	1.892255e-02
1.300000000000001e+00	1.000000e-04	1.892443e-02
1.310000000000001e+00	1.000000e-04	1.892631e-02
1.320000000000001e+00	1.000000e-04	1.892819e-02
1.330000000000001e+00	1.000000e-04	1.893007e-02
1.340000000000001e+00	1.000000e-04	1.893195e-02
1.350000000000001e+00	1.000000e-04	1.893383e-02
1.360000000000001e+00	1.000000e-04	1.893572e-02
1.370000000000001e+00	1.000000e-04	1.893760e-02
1.380000000000001e+00	1.000000e-04	1.893948e-02
